titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug
JOURNAL OF INNOVATION AND KNOWLEDGE,INNOV,Innovation,3,2444-569X,2530-7614,2530-7614,journal-of-innovation-and-knowledge
JOURNAL OF INTELLECTUAL CAPITAL,INNOV,Innovation,3,1469-1930,1758-7468,1758-7468,journal-of-intellectual-capital
JOURNAL OF QUALITY TECHNOLOGY,INNOV,Innovation,3,0022-4065,2575-6230,2575-6230,journal-of-quality-technology
SCIENCE TECHNOLOGY AND HUMAN VALUES,INNOV,Innovation,3,0162-2439,1552-8251,1552-8251,science-technology-and-human-values
SCIENTOMETRICS,INNOV,Innovation,3,0138-9130,1588-2861,1588-2861,scientometrics
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,INT,International,1*,0047-2506,1478-6990,1478-6990,journal-of-international-business-studies
JOURNAL OF WORLD BUSINESS,INT,International,1,1090-9516,1878-5573,1878-5573,journal-of-world-business
INTERNATIONAL BUSINESS REVIEW,INT,International,2,0969-5931,1873-6149,1873-6149,international-business-review
JOURNAL OF INTERNATIONAL MANAGEMENT,INT,International,2,1075-4253,1873-0620,1873-0620,journal-of-international-management
MANAGEMENT INTERNATIONAL,INT,International,2,1206-1697,1918-9222,1918-9222,management-international
WORLD DEVELOPMENT,INT,International,2,0305-750X,1873-5991,1873-5991,world-development
CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,INT,International,3,1742-2043,1758-6062,1758-6062,critical-perspectives-on-international-business
CROSS-CULTURAL MANAGEMENT: AN INTERNATIONAL JOURNAL (FORMELY: CROSS CULTURAL & STRATEGIC MANAGEMENT),INT,International,3,2059-5794,2059-5794,2059-5794,cross-cultural-management-an-international-journal-formely-cross-cultural-and-strategic-management
JOURNAL OF DEVELOPMENT STUDIES,INT,International,3,0022-0388,1743-9140,1743-9140,journal-of-development-studies
JOURNAL OF INDUSTRIAL ECONOMICS,INT,International,3,0022-1821,1467-6451,1467-6451,journal-of-industrial-economics
MANAGEMENT INTERNATIONAL REVIEW,INT,International,3,0938-8249,1861-8901,1861-8901,management-international-review
MULTINATIONAL BUSINESS REVIEW,INT,International,3,1525-383X,2054-1686,2054-1686,multinational-business-review
THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,INT,International,3,1096-4762,1520-6874,1520-6874,thunderbird-international-business-review
WORLD BANK ECONOMIC REVIEW,INT,International,3,0258-6770,1564-698X,1564-698X,world-bank-economic-review
JOURNAL OF OPERATIONS MANAGEMENT,LOG,Logistique,1*,0272-6963,1873-1317,1873-1317,journal-of-operations-management
INTERNATIONAL JOURNAL OF OPERATIONS AND PRODUCTION MANAGEMENT,LOG,Logistique,1,0144-3577,1758-6593,1758-6593,international-journal-of-operations-and-production-management
JOURNAL OF SUPPLY CHAIN MANAGEMENT,LOG,Logistique,1,1523-2409,1745-493X,1745-493X,journal-of-supply-chain-management
MANUFACTURING AND SERVICE OPERATIONS MANAGEMENT,LOG,Logistique,1,1523-4614,1526-5498,1526-5498,manufacturing-and-service-operations-management
PRODUCTION AND OPERATIONS MANAGEMENT,LOG,Logistique,1,1059-1478,1937-5956,1937-5956,production-and-operations-management
TRANSPORTATION RESEARCH PART E: LOGISTICS AND TRANSPORTATION REVIEW,LOG,Logistique,1,1366-5545,1878-5794,1878-5794,transportation-research-part-e-logistics-and-transportation-review
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION AND LOGISTICS MANAGEMENT,LOG,Logistique,2,0960-0035,1758-664X,1758-664X,international-journal-of-physical-distribution-and-logistics-management
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,LOG,Logistique,2,0925-5273,1873-7579,1873-7579,international-journal-of-production-economics
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,LOG,Logistique,2,0020-7543,1366-588X,1366-588X,international-journal-of-production-research
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,LOG,Logistique,2,0263-7863,1873-4634,1873-4634,international-journal-of-project-management
JOURNAL OF BUSINESS LOGISTICS,LOG,Logistique,2,0735-3766,2158-1592,2158-1592,journal-of-business-logistics
JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT,LOG,Logistique,2,1478-4092,1873-6505,1873-6505,journal-of-purchasing-and-supply-management
PRODUCTION PLANNING AND CONTROL,LOG,Logistique,2,0953-7287,1366-5871,1366-5871,production-planning-and-control
SUPPLY CHAIN MANAGEMENT: AN INTERNATIONAL JOURNAL,LOG,Logistique,2,1359-8546,1758-6852,1758-6852,supply-chain-management-an-international-journal
INTERNATIONAL JOURNAL OF LOGISTICS: RESEARCH AND APPLICATIONS,LOG,Logistique,3,1367-5567,1469-848X,1469-848X,international-journal-of-logistics-research-and-applications
JOURNAL OF CLEANER PRODUCTION,LOG,Logistique,3,0959-6526,1879-1786,1879-1786,journal-of-cleaner-production
LOGISTIQUE ET MANAGEMENT,LOG,Logistique,3,1250-7970,2377-9640,2377-9640,logistique-et-management
SUPPLY CHAIN FORUM : AN INTERNATIONAL JOURNAL,LOG,Logistique,3,1625-8312,1624-6039,1624-6039,supply-chain-forum-an-international-journal
THE INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT,LOG,Logistique,3,0957-4093,1758-6550,1758-6550,the-international-journal-of-logistics-management
ACADEMY OF MANAGEMENT JOURNAL,GEN MAN,Management général,1*,0001-4273,1948-0989,1948-0989,academy-of-management-journal
ACADEMY OF MANAGEMENT REVIEW,GEN MAN,Management général,1*,0363-7425,1930-3807,1930-3807,academy-of-management-review
JOURNAL OF POLITICAL ECONOMY,GEN MAN,Management général,1*,0022-3808,1537-534X,1537-534X,journal-of-political-economy
MANAGEMENT SCIENCE,GEN MAN,Management général,1*,0025-1909,1526-5501,1526-5501,management-science
OPERATIONS RESEARCH,GEN MAN,Management général,1*,0030-364X,1526-5463,1526-5463,operations-research
ACADEMY OF MANAGEMENT ANNALS,GEN MAN,Management général,1,1941-6067,1941-6520,1941-6520,academy-of-management-annals
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,GEN MAN,Management général,1,0377-2217,1872-6860,1872-6860,european-journal-of-operational-research
JOURNAL OF BUSINESS ETHICS,GEN MAN,Management général,1,0167-4544,1573-0697,1573-0697,journal-of-business-ethics
JOURNAL OF MANAGEMENT,GEN MAN,Management général,1,0149-2063,1557-1211,1557-1211,journal-of-management
JOURNAL OF MANAGEMENT STUDIES,GEN MAN,Management général,1,0022-2380,1467-6486,1467-6486,journal-of-management-studies
RAND JOURNAL OF ECONOMICS,GEN MAN,Management général,1,0741-6261,1756-2171,1756-2171,rand-journal-of-economics
ACADEMY OF MANAGEMENT PERSPECTIVES,GEN MAN,Management général,2,1558-9080,1558-9080,1558-9080,academy-of-management-perspectives
ANNALS OF OPERATIONS RESEARCH,GEN MAN,Management général,2,0254-5330,1572-9338,1572-9338,annals-of-operations-research
BRITISH JOURNAL OF MANAGEMENT,GEN MAN,Management général,2,1045-3172,1467-8551,1467-8551,british-journal-of-management
CALIFORNIA MANAGEMENT REVIEW,GEN MAN,Management général,2,0008-1256,2162-8564,2162-8564,california-management-review
EUROPEAN MANAGEMENT REVIEW,GEN MAN,Management général,2,1740-4754,1740-4762,1740-4762,european-management-review
HARVARD BUSINESS REVIEW,GEN MAN,Management général,2,0017-8012,0017-8012,0017-8012,harvard-business-review
INDUSTRIAL AND CORPORATE CHANGE,GEN MAN,Management général,2,0960-6491,1464-3650,1464-3650,industrial-and-corporate-change
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,GEN MAN,Management général,2,1460-8545,1468-2370,1468-2370,international-journal-of-management-reviews
JOURNAL OF ECONOMIC DYNAMICS AND CONTROL,GEN MAN,Management général,2,0165-1889,1879-1743,1879-1743,journal-of-economic-dynamics-and-control
JOURNAL OF LAW AND ECONOMICS,GEN MAN,Management général,2,0022-2186,1537-5285,1537-5285,journal-of-law-and-economics
"JOURNAL OF LAW, ECONOMICS, AND ORGANIZATION",GEN MAN,Management général,2,1465-7341,8756-6222,8756-6222,journal-of-law-economics-and-organization
JOURNAL OF MANAGEMENT INQUIRY,GEN MAN,Management général,2,1056-4926,1552-6542,1552-6542,journal-of-management-inquiry
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,GEN MAN,Management général,2,0160-5682,1476-9360,1476-9360,journal-of-the-operational-research-society
MIT SLOAN MANAGEMENT REVIEW,GEN MAN,Management général,2,1532-9194,1532-9194,1532-9194,mit-sloan-management-review
OMEGA: THE INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,GEN MAN,Management général,2,0305-0483,1873-5274,1873-5274,omega-the-international-journal-of-management-science
REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION (CJAS),GEN MAN,Management général,2,0825-0383,1936-4490,1936-4490,revue-canadienne-des-sciences-de-l-administration-cjas
REVUE FRANÇAISE DE GESTION,GEN MAN,Management général,2,0338-4551,1777-5663,1777-5663,revue-francaise-de-gestion
ACADEMY OF MANAGEMENT DISCOVERIES,GEN MAN,Management général,3,2168-1007,2168-1007,2168-1007,academy-of-management-discoveries
ASIA PACIFIC JOURNAL OF MANAGEMENT,GEN MAN,Management général,3,0217-4561,1572-9958,1572-9958,asia-pacific-journal-of-management
BUSINESS HORIZONS,GEN MAN,Management général,3,0007-6813,1873-6068,1873-6068,business-horizons
COMPETITION AND CHANGE,GEN MAN,Management général,3,1024-5294,1477-2221,1477-2221,competition-and-change
CORPORATE GOVERNANCE: AN INTERNATIONAL REVIEW,GEN MAN,Management général,3,0964-8410,1467-8683,1467-8683,corporate-governance-an-international-review
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,GEN MAN,Management général,3,1535-3958,1535-3966,1535-3966,corporate-social-responsibility-and-environmental-management
ECONOMICA,GEN MAN,Management général,3,0013-0427,1468-0335,1468-0335,economica
EUROPEAN BUSINESS REVIEW,GEN MAN,Management général,3,0955-534X,1758-7107,1758-7107,european-business-review
EUROPEAN MANAGEMENT JOURNAL,GEN MAN,Management général,3,0263-2373,1873-5681,1873-5681,european-management-journal
INFORMS JOURNAL ON APPLIED ANALYTICS,GEN MAN,Management général,3,0092-2102,1526-551X,1526-551X,informs-journal-on-applied-analytics
JOURNAL OF PRODUCTIVITY ANALYSIS,GEN MAN,Management général,3,0895-562X,1573-0441,1573-0441,journal-of-productivity-analysis
JOURNAL OF SERVICE MANAGEMENT,GEN MAN,Management général,3,1757-5818,1757-5826,1757-5826,journal-of-service-management
MANAGEMENT & PROSPECTIVE (GESTION 2000),GEN MAN,Management général,3,0773-0543,2406-4734,2406-4734,management-and-prospective-gestion-2000
MANAGEMENT DECISION,GEN MAN,Management général,3,0025-1747,1758-6070,1758-6070,management-decision
MANAGERIAL AND DECISION ECONOMICS,GEN MAN,Management général,3,0143-6570,1099-1468,1099-1468,managerial-and-decision-economics
RECHERCHES EN SCIENCES DE GESTION - MANAGEMENT SCIENCES - CIENCIAS DE GESTION,GEN MAN,Management général,3,2259-6372,2271-2836,2271-2836,recherches-en-sciences-de-gestion-management-sciences-ciencias-de-gestion
RESEARCH-TECHNOLOGY MANAGEMENT,GEN MAN,Management général,3,0895-6308,1930-0166,1930-0166,research-technology-management
REVIEW OF MANAGERIAL SCIENCE,GEN MAN,Management général,3,1863-6683,1863-6691,1863-6691,review-of-managerial-science
SCANDINAVIAN JOURNAL OF MANAGEMENT,GEN MAN,Management général,3,0956-5221,1873-3387,1873-3387,scandinavian-journal-of-management
THE JOURNAL OF APPLIED BEHAVIORAL SCIENCE,GEN MAN,Management général,3,0021-8863,1552-6879,1552-6879,the-journal-of-applied-behavioral-science
JOURNAL OF PUBLIC ECONOMICS,PUB MAN,Management public,1,0047-2727,0047-2727,0047-2727,journal-of-public-economics
PUBLIC ADMINISTRATION REVIEW,PUB MAN,Management public,1,0033-3352,1540-6210,1540-6210,public-administration-review
GOVERNANCE,PUB MAN,Management public,2,0952-1895,1468-0491,1468-0491,governance
JOURNAL OF ACCOUNTING AND PUBLIC POLICY,PUB MAN,Management public,2,0278-4254,1873-2070,1873-2070,journal-of-accounting-and-public-policy
JOURNAL OF EUROPEAN PUBLIC POLICY,PUB MAN,Management public,2,1350-1763,1466-4429,1466-4429,journal-of-european-public-policy
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,PUB MAN,Management public,2,1053-1858,1477-9803,1477-9803,journal-of-public-administration-research-and-theory
PUBLIC ADMINISTRATION: AN INTERNATIONAL QUARTERLY,PUB MAN,Management public,2,0033-3298,1467-9299,1467-9299,public-administration-an-international-quarterly
PUBLIC MANAGEMENT REVIEW,PUB MAN,Management public,2,1471-9037,1471-9045,1471-9045,public-management-review
ADMINISTRATION AND SOCIETY,PUB MAN,Management public,3,0095-3997,1552-3039,1552-3039,administration-and-society
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,PUB MAN,Management public,3,0275-0740,1552-3357,1552-3357,american-review-of-public-administration
"EVALUATION: THE INTERNATIONAL JOURNAL OF THEORY, RESEARCH AND PRACTICE",PUB MAN,Management public,3,1356-3890,1461-7153,1461-7153,evaluation-the-international-journal-of-theory-research-and-practice
GESTION ET MANAGEMENT PUBLIC,PUB MAN,Management public,3,,2116-8865,2116-8865,gestion-et-management-public
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,PUB MAN,Management public,3,0190-0692,1532-4265,1532-4265,international-journal-of-public-administration
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,PUB MAN,Management public,3,0309-1317,1468-2427,1468-2427,international-journal-of-urban-and-regional-research
INTERNATIONAL STUDIES OF MANAGEMENT AND ORGANIZATION,PUB MAN,Management public,3,0020-8825,1558-0911,1558-0911,international-studies-of-management-and-organization
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,PUB MAN,Management public,3,0276-8739,1520-6688,1520-6688,journal-of-policy-analysis-and-management
LOCAL GOVERNMENT STUDIES,PUB MAN,Management public,3,0300-3930,1743-9388,1743-9388,local-government-studies
POLICY AND POLITICS,PUB MAN,Management public,3,0305-5736,1470-8442,1470-8442,policy-and-politics
PUBLIC ADMINISTRATION AND DEVELOPMENT,PUB MAN,Management public,3,0271-2075,1099-162X,1099-162X,public-administration-and-development
PUBLIC MONEY AND MANAGEMENT,PUB MAN,Management public,3,0954-0962,1467-9302,1467-9302,public-money-and-management
JOURNAL OF CONSUMER RESEARCH,MKG,Marketing,1*,0093-5301,1537-5277,1537-5277,journal-of-consumer-research
JOURNAL OF MARKETING,MKG,Marketing,1*,0022-2429,1547-7185,1547-7185,journal-of-marketing
JOURNAL OF MARKETING RESEARCH,MKG,Marketing,1*,0022-2437,1547-7193,1547-7193,journal-of-marketing-research
MARKETING SCIENCE,MKG,Marketing,1*,0732-2399,1526-548X,1526-548X,marketing-science
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,MKG,Marketing,1,0167-8116,1873-8001,1873-8001,international-journal-of-research-in-marketing
JOURNAL OF CONSUMER PSYCHOLOGY,MKG,Marketing,1,1057-7408,1532-7663,1532-7663,journal-of-consumer-psychology
JOURNAL OF RETAILING,MKG,Marketing,1,0022-4359,1873-3271,1873-3271,journal-of-retailing
JOURNAL OF SERVICE RESEARCH,MKG,Marketing,1,1094-6705,1552-7379,1552-7379,journal-of-service-research
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,MKG,Marketing,1,0092-0703,1552-7824,1552-7824,journal-of-the-academy-of-marketing-science
EUROPEAN JOURNAL OF MARKETING,MKG,Marketing,2,0309-0566,1758-7123,1758-7123,european-journal-of-marketing
INDUSTRIAL MARKETING MANAGEMENT,MKG,Marketing,2,0019-8501,1873-2062,1873-2062,industrial-marketing-management
INTERNATIONAL MARKETING REVIEW,MKG,Marketing,2,0265-1335,1758-6763,1758-6763,international-marketing-review
JOURNAL OF ADVERTISING,MKG,Marketing,2,0091-3367,1557-7805,1557-7805,journal-of-advertising
JOURNAL OF ADVERTISING RESEARCH,MKG,Marketing,2,0021-8499,1740-1909,1740-1909,journal-of-advertising-research
JOURNAL OF BUSINESS RESEARCH,MKG,Marketing,2,0148-2963,1873-7978,1873-7978,journal-of-business-research
JOURNAL OF INTERACTIVE MARKETING,MKG,Marketing,2,1094-9968,1520-6653,1520-6653,journal-of-interactive-marketing
JOURNAL OF INTERNATIONAL MARKETING,MKG,Marketing,2,1069-031X,1547-7215,1547-7215,journal-of-international-marketing
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,MKG,Marketing,2,0022-3514,1939-1315,1939-1315,journal-of-personality-and-social-psychology
JOURNAL OF PUBLIC POLICY AND MARKETING,MKG,Marketing,2,0743-9156,1547-7207,1547-7207,journal-of-public-policy-and-marketing
MARKETING LETTERS,MKG,Marketing,2,0923-0645,1573-059X,1573-059X,marketing-letters
PSYCHOLOGICAL SCIENCE,MKG,Marketing,2,0956-7976,1467-9280,1467-9280,psychological-science
PSYCHOLOGY AND MARKETING,MKG,Marketing,2,0742-6046,1520-6793,1520-6793,psychology-and-marketing
QUANTITATIVE MARKETING AND ECONOMICS,MKG,Marketing,2,1570-7156,1573-711X,1573-711X,quantitative-marketing-and-economics
RECHERCHE ET APPLICATIONS EN MARKETING,MKG,Marketing,2,0767-3701,2051-2821,2051-2821,recherche-et-applications-en-marketing
"CONSUMPTION, MARKETS AND CULTURE",MKG,Marketing,3,1025-3866,1477-223X,1477-223X,consumption-markets-and-culture
DÉCISIONS MARKETING,MKG,Marketing,3,0779-7389,2269-8469,2269-8469,decisions-marketing
FOOD POLICY,MKG,Marketing,3,0306-9192,1873-5657,1873-5657,food-policy
INTERNATIONAL JOURNAL OF ADVERTISING,MKG,Marketing,3,0265-0487,1759-3948,1759-3948,international-journal-of-advertising
INTERNATIONAL JOURNAL OF CONSUMER STUDIES,MKG,Marketing,3,1470-6423,1470-6431,1470-6431,international-journal-of-consumer-studies
INTERNATIONAL JOURNAL OF MARKET RESEARCH,MKG,Marketing,3,1470-7853,2515-2173,2515-2173,international-journal-of-market-research
INTERNATIONAL JOURNAL OF RETAIL AND DISTRIBUTION MANAGEMENT,MKG,Marketing,3,0959-0552,1758-6690,1758-6690,international-journal-of-retail-and-distribution-management
JOURNAL OF BRAND MANAGEMENT,MKG,Marketing,3,1350-231X,1479-1803,1479-1803,journal-of-brand-management
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,MKG,Marketing,3,0885-8624,2052-1189,2052-1189,journal-of-business-and-industrial-marketing
JOURNAL OF CONSUMER AFFAIRS,MKG,Marketing,3,0022-0078,1745-6606,1745-6606,journal-of-consumer-affairs
JOURNAL OF CONSUMER BEHAVIOUR,MKG,Marketing,3,1472-0817,1479-1838,1479-1838,journal-of-consumer-behaviour
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,MKG,Marketing,3,0022-1031,1096-0465,1096-0465,journal-of-experimental-social-psychology
JOURNAL OF MACROMARKETING,MKG,Marketing,3,0276-1467,1552-6534,1552-6534,journal-of-macromarketing
JOURNAL OF MARKETING MANAGEMENT,MKG,Marketing,3,0267-257X,1472-1376,1472-1376,journal-of-marketing-management
JOURNAL OF PERSONAL SELLING AND SALES MANAGEMENT,MKG,Marketing,3,0885-3134,1557-7813,1557-7813,journal-of-personal-selling-and-sales-management
JOURNAL OF RETAILING AND CONSUMER SERVICES,MKG,Marketing,3,0969-6989,1873-1384,1873-1384,journal-of-retailing-and-consumer-services
JOURNAL OF SERVICES MARKETING,MKG,Marketing,3,0887-6045,0887-6045,0887-6045,journal-of-services-marketing
JUDGMENT AND DECISION MAKING,MKG,Marketing,3,1930-2975,1930-2975,1930-2975,judgment-and-decision-making
MARKETING THEORY,MKG,Marketing,3,1470-5931,1741-301X,1741-301X,marketing-theory
SOCIAL SCIENCE AND MEDICINE,HLTH,Santé,1,0277-9536,1873-5347,1873-5347,social-science-and-medicine
HEALTH AFFAIRS,HLTH,Santé,2,0278-2715,1544-5208,1544-5208,health-affairs
HEALTH ECONOMICS,HLTH,Santé,2,1057-9230,1099-1050,1099-1050,health-economics
HEALTH POLICY,HLTH,Santé,2,0168-8510,1872-6054,1872-6054,health-policy
HEALTH SERVICES RESEARCH,HLTH,Santé,2,0017-9124,1475-6773,1475-6773,health-services-research
BMJ QUALITY AND SAFETY (ORIGINAL RESEARCH),HLTH,Santé,3,2044-5415,2044-5423,2044-5423,bmj-quality-and-safety-original-research
EUROPEAN JOURNAL OF HEALTH ECONOMICS,HLTH,Santé,3,1618-7598,1618-7601,1618-7601,european-journal-of-health-economics
HEALTH CARE MANAGEMENT REVIEW,HLTH,Santé,3,0361-6274,1550-5030,1550-5030,health-care-management-review
HEALTH CARE MANAGEMENT SCIENCE,HLTH,Santé,3,1386-9620,1572-9389,1572-9389,health-care-management-science
INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,HLTH,Santé,3,2199-9023,2199-9031,2199-9031,international-journal-of-health-economics-and-management
JOURNAL OF HEALTH SERVICES RESEARCH AND POLICY,HLTH,Santé,3,1355-8196,1758-1060,1758-1060,journal-of-health-services-research-and-policy
MEDICAL CARE,HLTH,Santé,3,0025-7079,1537-1948,1537-1948,medical-care
MEDICAL DECISION MAKING,HLTH,Santé,3,0272-989X,1552-681X,1552-681X,medical-decision-making
QUALITY OF LIFE RESEARCH,HLTH,Santé,3,0962-9343,1573-2649,1573-2649,quality-of-life-research
THE MILBANK QUARTERLY,HLTH,Santé,3,0887-378X,1468-0009,1468-0009,the-milbank-quarterly
TOURISM MANAGEMENT,SECTOR,Sectoriel,1,0261-5177,1879-3193,1879-3193,tourism-management
TRANSPORTATION RESEARCH B: METHODOLOGICAL,SECTOR,Sectoriel,1,0191-2615,1879-2367,1879-2367,transportation-research-b-methodological
ANNALS OF TOURISM RESEARCH,SECTOR,Sectoriel,2,0160-7383,1873-7722,1873-7722,annals-of-tourism-research
ENERGY ECONOMICS,SECTOR,Sectoriel,2,0140-9883,1873-6181,1873-6181,energy-economics
ENERGY JOURNAL,SECTOR,Sectoriel,2,0195-6574,1944-9089,1944-9089,energy-journal
ENERGY POLICY,SECTOR,Sectoriel,2,0301-4215,1873-6777,1873-6777,energy-policy
ENVIRONMENT AND PLANNING A,SECTOR,Sectoriel,2,0308-518X,1472-3409,1472-3409,environment-and-planning-a
JOURNAL OF TRAVEL RESEARCH,SECTOR,Sectoriel,2,0047-2875,1552-6763,1552-6763,journal-of-travel-research
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,SECTOR,Sectoriel,2,0899-7640,1552-7395,1552-7395,nonprofit-and-voluntary-sector-quarterly
REGIONAL STUDIES,SECTOR,Sectoriel,2,0034-3404,1360-0591,1360-0591,regional-studies
TRANSPORTATION RESEARCH A: POLICY AND PRACTICE,SECTOR,Sectoriel,2,0965-8564,1879-2375,1879-2375,transportation-research-a-policy-and-practice
TRANSPORTATION RESEARCH D: TRANSPORT AND ENVIRONMENT,SECTOR,Sectoriel,2,1361-9209,1879-2340,1879-2340,transportation-research-d-transport-and-environment
URBAN STUDIES,SECTOR,Sectoriel,2,0042-0980,1360-063X,1360-063X,urban-studies
APPETITE,SECTOR,Sectoriel,3,0092-0703,1095-8304,1095-8304,appetite
BRITISH FOOD JOURNAL,SECTOR,Sectoriel,3,0007-070X,1758-4108,1758-4108,british-food-journal
CURRENT ISSUES IN TOURISM,SECTOR,Sectoriel,3,1368-3500,1747-7603,1747-7603,current-issues-in-tourism
EURO JOURNAL ON TRANSPORTATION AND LOGISTICS,SECTOR,Sectoriel,3,2192-4376,2192-4384,2192-4384,euro-journal-on-transportation-and-logistics
EUROPEAN SPORT MANAGEMENT QUARTERLY,SECTOR,Sectoriel,3,1618-4742,1746-031X,1746-031X,european-sport-management-quarterly
INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,SECTOR,Sectoriel,3,0959-6119,1757-1049,1757-1049,international-journal-of-contemporary-hospitality-management
INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,SECTOR,Sectoriel,3,0278-4319,1873-4693,1873-4693,international-journal-of-hospitality-management
INTERNATIONAL JOURNAL OF TOURISM RESEARCH,SECTOR,Sectoriel,3,1099-2340,1522-1970,1522-1970,international-journal-of-tourism-research
JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,SECTOR,Sectoriel,3,1447-6770,1839-5260,1839-5260,journal-of-hospitality-and-tourism-management
JOURNAL OF HOSPITALITY AND TOURISM RESEARCH,SECTOR,Sectoriel,3,1096-3480,1557-7554,1557-7554,journal-of-hospitality-and-tourism-research
JOURNAL OF MANAGEMENT IN ENGINEERING,SECTOR,Sectoriel,3,0742-597X,1943-5479,1943-5479,journal-of-management-in-engineering
JOURNAL OF SUSTAINABLE TOURISM,SECTOR,Sectoriel,3,0966-9582,1747-7646,1747-7646,journal-of-sustainable-tourism
JOURNAL OF TRANSPORT GEOGRAPHY,SECTOR,Sectoriel,3,0966-6923,1873-1236,1873-1236,journal-of-transport-geography
JOURNAL OF TRAVEL & TOURISM MARKETING,SECTOR,Sectoriel,3,1054-8408,1540-7306,1540-7306,journal-of-travel-and-tourism-marketing
LAND ECONOMICS,SECTOR,Sectoriel,3,0023-7639,1543-8325,1543-8325,land-economics
PAPERS IN REGIONAL SCIENCE,SECTOR,Sectoriel,3,1056-8190,1435-5957,1435-5957,papers-in-regional-science
REGIONAL SCIENCE AND URBAN ECONOMICS,SECTOR,Sectoriel,3,0166-0462,1879-2308,1879-2308,regional-science-and-urban-economics
RESOURCE AND ENERGY ECONOMICS,SECTOR,Sectoriel,3,0928-7655,1873-0221,1873-0221,resource-and-energy-economics
SAFETY SCIENCE,SECTOR,Sectoriel,3,0925-7535,1879-1042,1879-1042,safety-science
SERVICE INDUSTRIES JOURNAL,SECTOR,Sectoriel,3,0264-2069,1743-9507,1743-9507,service-industries-journal
SPORT MANAGEMENT REVIEW,SECTOR,Sectoriel,3,1441-3523,1839-2083,1839-2083,sport-management-review
TOURISM MANAGEMENT PERSPECTIVES,SECTOR,Sectoriel,3,2211-9736,2211-9744,2211-9744,tourism-management-perspectives
TRANSPORT POLICY,SECTOR,Sectoriel,3,0967-070X,1879-310X,1879-310X,transport-policy
TRANSPORT REVIEWS,SECTOR,Sectoriel,3,0144-1647,1464-5327,1464-5327,transport-reviews
TRANSPORTATION,SECTOR,Sectoriel,3,0049-4488,1572-9435,1572-9435,transportation
STRATEGIC MANAGEMENT JOURNAL,STRAT,Stratégie,1*,0143-2095,1097-0266,1097-0266,strategic-management-journal
GLOBAL STRATEGY JOURNAL,STRAT,Stratégie,1,2042-5791,2042-5805,2042-5805,global-strategy-journal
LONG RANGE PLANNING,STRAT,Stratégie,1,0024-6301,1873-1872,1873-1872,long-range-planning
STRATEGIC ORGANIZATION,STRAT,Stratégie,1,1476-1270,1741-315X,1741-315X,strategic-organization
JOURNAL OF ECONOMICS AND MANAGEMENT STRATEGY,STRAT,Stratégie,2,1058-6407,1530-9134,1530-9134,journal-of-economics-and-management-strategy
M@N@GEMENT,STRAT,Stratégie,2,,1286-4692,1286-4692,m-n-gement
ADVANCES IN STRATEGIC MANAGEMENT,STRAT,Stratégie,3,0742-3322,0742-3322,0742-3322,advances-in-strategic-management
BUSINESS STRATEGY AND THE ENVIRONMENT,STRAT,Stratégie,3,0964-4733,1099-0836,1099-0836,business-strategy-and-the-environment
INTERNATIONAL JOURNAL OF FORECASTING,STRAT,Stratégie,3,0169-2070,1872-8200,1872-8200,international-journal-of-forecasting
JOURNAL OF FORECASTING,STRAT,Stratégie,3,0277-6693,1099-131X,1099-131X,journal-of-forecasting
TECHNOLOGY ANALYSIS AND STRATEGIC MANAGEMENT,STRAT,Stratégie,3,0953-7325,1465-3990,1465-3990,technology-analysis-and-strategic-management
