titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,BUS SOC,Entreprise et société,1,0095-0696,1096-0449,1096-0449,journal-of-environmental-economics-and-management
ANNUAL REVIEW OF SOCIOLOGY,BUS SOC,Entreprise et société,2,0360-0572,1545-2115,1545-2115,annual-review-of-sociology
BUSINESS AND SOCIETY,BUS SOC,Entreprise et société,2,0007-6503,1552-4205,1552-4205,business-and-society
ECOLOGICAL ECONOMICS,BUS SOC,Entreprise et société,2,1873-6106,1989-2021,1989-2021,ecological-economics
ENVIRONMENTAL AND RESOURCE ECONOMICS,BUS SOC,Entreprise et société,2,0924-6460,1573-1502,1573-1502,environmental-and-resource-economics
GENDER AND SOCIETY,BUS SOC,Entreprise et société,2,0891-2432,1552-3977,1552-3977,gender-and-society
GLOBAL ENVIRONMENTAL CHANGE,BUS SOC,Entreprise et société,2,0959-3780,1872-9495,1872-9495,global-environmental-change
JOURNAL OF ECONOMIC GEOGRAPHY,BUS SOC,Entreprise et société,2,1468-2702,1468-2710,1468-2710,journal-of-economic-geography
JOURNAL OF ENVIRONMENTAL MANAGEMENT,BUS SOC,Entreprise et société,2,0301-4797,1095-8630,1095-8630,journal-of-environmental-management
REVUE DE L'ORGANISATION RESPONSABLE (ROR),BUS SOC,Entreprise et société,2,1951-0187,2105-3022,2105-3022,revue-de-l-organisation-responsable-ror
SOCIOLOGY,BUS SOC,Entreprise et société,2,0038-0385,1469-8684,1469-8684,sociology
BRITISH JOURNAL OF SOCIOLOGY,BUS SOC,Entreprise et société,3,0007-1315,1468-4446,1468-4446,british-journal-of-sociology
"BUSINESS ETHICS, THE ENVIRONMENT AND RESPONSIBILITY",BUS SOC,Entreprise et société,3,2694-6416,2694-6424,2694-6424,business-ethics-the-environment-and-responsibility-2
DEVELOPMENT AND CHANGE,BUS SOC,Entreprise et société,3,0012-155X,1467-7660,1467-7660,development-and-change
ECONOMY AND SOCIETY,BUS SOC,Entreprise et société,3,0308-5147,1469-5766,1469-5766,economy-and-society
JOURNAL OF INDUSTRIAL ECOLOGY,BUS SOC,Entreprise et société,3,1088-1980,1530-9290,1530-9290,journal-of-industrial-ecology
JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,BUS SOC,Entreprise et société,3,2333-5955,2333-5963,2333-5963,journal-of-the-association-of-environmental-and-resource-economists
KYKLOS,BUS SOC,Entreprise et société,3,0023-5962,1467-6435,1467-6435,kyklos
SOCIAL FORCES,BUS SOC,Entreprise et société,3,0037-7732,1534-7605,1534-7605,social-forces
"THEORY, CULTURE AND SOCIETY",BUS SOC,Entreprise et société,3,0263-2764,1460-3616,1460-3616,theory-culture-and-society
AMERICAN ECONOMIC REVIEW,FIN,Finance,1*,0002-8282,1944-7981,1944-7981,american-economic-review
ECONOMETRICA,FIN,Finance,1*,0012-9682,1468-0262,1468-0262,econometrica
JOURNAL OF FINANCE,FIN,Finance,1*,0022-1082,1540-6261,1540-6261,journal-of-finance
JOURNAL OF FINANCIAL ECONOMICS,FIN,Finance,1*,0304-405X,0304-405X,0304-405X,journal-of-financial-economics
REVIEW OF FINANCIAL STUDIES,FIN,Finance,1*,0893-9454,1465-7368,1465-7368,review-of-financial-studies
JOURNAL OF BANKING AND FINANCE,FIN,Finance,1,0378-4266,1872-6372,1872-6372,journal-of-banking-and-finance
JOURNAL OF BUSINESS AND ECONOMIC STATISTICS,FIN,Finance,1,0735-0015,1537-2707,1537-2707,journal-of-business-and-economic-statistics
"JOURNAL OF CORPORATE FINANCE: CONTRACTING, GOVERNANCE AND ORGANIZATION",FIN,Finance,1,0929-1199,1872-6313,1872-6313,journal-of-corporate-finance-contracting-governance-and-organization
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,FIN,Finance,1,0022-1090,1756-6916,1756-6916,journal-of-financial-and-quantitative-analysis
JOURNAL OF FINANCIAL INTERMEDIATION,FIN,Finance,1,1042-9573,1096-0473,1096-0473,journal-of-financial-intermediation
"JOURNAL OF MONEY, CREDIT AND BANKING",FIN,Finance,1,0022-2879,1538-4616,1538-4616,journal-of-money-credit-and-banking
REVIEW OF FINANCE,FIN,Finance,1,1572-3097,1573-692X,1573-692X,review-of-finance
FINANCE,FIN,Finance,2,0752-6180,2101-0145,2101-0145,finance
FINANCE AND STOCHASTICS,FIN,Finance,2,0949-2984,1432-1122,1432-1122,finance-and-stochastics
FINANCIAL ANALYSTS JOURNAL,FIN,Finance,2,0015-198X,1938-3312,1938-3312,financial-analysts-journal
FINANCIAL MANAGEMENT,FIN,Finance,2,0046-3892,1755-053X,1755-053X,financial-management
JOURNAL OF EMPIRICAL FINANCE,FIN,Finance,2,0927-5398,1879-1727,1879-1727,journal-of-empirical-finance
JOURNAL OF FINANCIAL ECONOMETRICS,FIN,Finance,2,1479-8409,1479-8417,1479-8417,journal-of-financial-econometrics
JOURNAL OF FINANCIAL MARKETS,FIN,Finance,2,1386-4181,1878-576X,1878-576X,journal-of-financial-markets
JOURNAL OF FINANCIAL STABILITY,FIN,Finance,2,1572-3089,1878-0962,1878-0962,journal-of-financial-stability
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,FIN,Finance,2,0261-5606,1873-0639,1873-0639,journal-of-international-money-and-finance
JOURNAL OF RISK AND INSURANCE,FIN,Finance,2,0022-4367,1539-6975,1539-6975,journal-of-risk-and-insurance
JOURNAL OF RISK AND UNCERTAINTY,FIN,Finance,2,0895-5646,1573-0476,1573-0476,journal-of-risk-and-uncertainty
MATHEMATICAL FINANCE,FIN,Finance,2,0960-1627,1467-9965,1467-9965,mathematical-finance
REVIEW OF CORPORATE FINANCE STUDIES,FIN,Finance,2,2046-9136,2046-9136,2046-9136,review-of-corporate-finance-studies
APPLIED ECONOMICS,FIN,Finance,3,0003-6846,1466-4283,1466-4283,applied-economics
ASTIN BULLETIN,FIN,Finance,3,0515-0361,1783-1350,1783-1350,astin-bulletin
ECONOMIC MODELLING,FIN,Finance,3,0264-9993,1873-6122,1873-6122,economic-modelling
EMERGING MARKETS REVIEW,FIN,Finance,3,1566-0141,1873-6173,1873-6173,emerging-markets-review
EUROPEAN FINANCIAL MANAGEMENT,FIN,Finance,3,1354-7798,1468-036X,1468-036X,european-financial-management
FINANCE CONTRÔLE STRATÉGIE,FIN,Finance,3,1287-1141,2261-5512,2261-5512,finance-controle-strategie
FINANCE RESEARCH LETTERS,FIN,Finance,3,1544-6123,1544-6131,1544-6131,finance-research-letters
"FINANCIAL MARKETS, INSTITUTIONS AND INSTRUMENTS",FIN,Finance,3,0963-8008,1468-0416,1468-0416,financial-markets-institutions-and-instruments
FINANCIAL REVIEW,FIN,Finance,3,0732-8516,1540-6288,1540-6288,financial-review
GENEVA PAPERS ON RISK AND INSURANCE: ISSUES AND PRACTICE,FIN,Finance,3,1018-5895,1468-0440,1468-0440,geneva-papers-on-risk-and-insurance-issues-and-practice
INSURANCE: MATHEMATICS AND ECONOMICS,FIN,Finance,3,0167-6687,1873-5959,1873-5959,insurance-mathematics-and-economics
INTERNATIONAL JOURNAL OF FINANCE AND ECONOMICS,FIN,Finance,3,1076-9307,1099-1158,1099-1158,international-journal-of-finance-and-economics
INTERNATIONAL REVIEW OF ECONOMICS AND FINANCE,FIN,Finance,3,1059-0560,1873-8036,1873-8036,international-review-of-economics-and-finance
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,FIN,Finance,3,1057-5219,1873-8079,1873-8079,international-review-of-financial-analysis
JOURNAL OF COMMODITY MARKETS,FIN,Finance,3,2405-8505,2405-8513,2405-8513,journal-of-commodity-markets
JOURNAL OF DERIVATIVES,FIN,Finance,3,1074-1240,2168-8524,2168-8524,journal-of-derivatives
JOURNAL OF FINANCIAL RESEARCH,FIN,Finance,3,0270-2592,1475-6803,1475-6803,journal-of-financial-research
JOURNAL OF FINANCIAL SERVICES RESEARCH,FIN,Finance,3,0920-8550,1573-0735,1573-0735,journal-of-financial-services-research
JOURNAL OF FIXED INCOME,FIN,Finance,3,1059-8596,1059-8596,1059-8596,journal-of-fixed-income
JOURNAL OF FUTURES MARKETS,FIN,Finance,3,0270-7314,1096-9934,1096-9934,journal-of-futures-markets
"JOURNAL OF INTERNATIONAL FINANCIAL MARKETS, INSTITUTIONS AND MONEY",FIN,Finance,3,1042-4431,1873-0612,1873-0612,journal-of-international-financial-markets-institutions-and-money
JOURNAL OF PORTFOLIO MANAGEMENT,FIN,Finance,3,0095-4918,2168-8656,2168-8656,journal-of-portfolio-management
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,FIN,Finance,3,0895-5638,1573-045X,1573-045X,journal-of-real-estate-finance-and-economics
NORTH AMERICAN ACTUARIAL JOURNAL,FIN,Finance,3,1092-0277,2325-0453,2325-0453,north-american-actuarial-journal
PACIFIC BASIN FINANCE JOURNAL,FIN,Finance,3,0927-538X,1879-0585,1879-0585,pacific-basin-finance-journal
QUANTITATIVE FINANCE,FIN,Finance,3,1469-7688,1469-7696,1469-7696,quantitative-finance
REAL ESTATE ECONOMICS,FIN,Finance,3,1080-8620,1540-6229,1540-6229,real-estate-economics
RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,FIN,Finance,3,0275-5319,1878-3384,1878-3384,research-in-international-business-and-finance
REVIEW OF ASSET PRICING STUDIES,FIN,Finance,3,2045-9939,2045-9939,2045-9939,review-of-asset-pricing-studies
REVIEW OF DERIVATIVES RESEARCH,FIN,Finance,3,1380-6645,1573-7144,1573-7144,review-of-derivatives-research
REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING,FIN,Finance,3,0924-865X,1573-7179,1573-7179,review-of-quantitative-finance-and-accounting
THE EUROPEAN JOURNAL OF FINANCE,FIN,Finance,3,1351-847X,1466-4364,1466-4364,the-european-journal-of-finance
THE GENEVA RISK AND INSURANCE REVIEW,FIN,Finance,3,1554-964X,1554-9658,1554-9658,the-geneva-risk-and-insurance-review
THE QUARTERLY REVIEW OF ECONOMICS AND FINANCE,FIN,Finance,3,1062-9769,1878-4259,1878-4259,the-quarterly-review-of-economics-and-finance
JOURNAL OF APPLIED PSYCHOLOGY,HRM,GRH,1*,0021-9010,1939-1854,1939-1854,journal-of-applied-psychology
PERSONNEL PSYCHOLOGY,HRM,GRH,1*,0031-5826,1744-6570,1744-6570,personnel-psychology
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,HRM,GRH,1,0007-1080,1467-8543,1467-8543,british-journal-of-industrial-relations
HUMAN RELATIONS,HRM,GRH,1,0018-7267,1741-282X,1741-282X,human-relations
HUMAN RESOURCE MANAGEMENT,HRM,GRH,1,0090-4848,1099-050X,1099-050X,human-resource-management
HUMAN RESOURCE MANAGEMENT JOURNAL,HRM,GRH,1,0954-5395,1748-8583,1748-8583,human-resource-management-journal
INDUSTRIAL RELATIONS: A JOURNAL OF ECONOMY AND SOCIETY,HRM,GRH,1,0019-8676,1468-232X,1468-232X,industrial-relations-a-journal-of-economy-and-society
JOURNAL OF LABOR ECONOMICS,HRM,GRH,1,0734-306X,1537-5307,1537-5307,journal-of-labor-economics
JOURNAL OF VOCATIONAL BEHAVIOR,HRM,GRH,1,0001-8791,1095-9084,1095-9084,journal-of-vocational-behavior
LEADERSHIP QUARTERLY,HRM,GRH,1,1048-9843,1873-3409,1873-3409,leadership-quarterly
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,HRM,GRH,1,0749-5978,1095-9920,1095-9920,organizational-behavior-and-human-decision-processes
@GRH,HRM,GRH,2,2034-9130,2295-9149,2295-9149,grh
APPLIED PSYCHOLOGY: AN INTERNATIONAL REVIEW,HRM,GRH,2,0269-994X,1464-0597,1464-0597,applied-psychology-an-international-review
BUSINESS ETHICS QUARTERLY,HRM,GRH,2,1052-150X,2153-3326,2153-3326,business-ethics-quarterly
