titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug,editeur,openalex_id,nom_openalex
JOURNAL OF INFORMATION TECHNOLOGY,MIS,Systèmes d information,1,0268-3962,1466-4437,1466-4437,journal-of-information-technology,SAGE Publishing,https://openalex.org/S135086714,Journal of Information Technology
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,MIS,Systèmes d information,1,0742-1222,1557-928X,1557-928X,journal-of-management-information-systems,Taylor & Francis,https://openalex.org/S9954729,Journal of Management Information Systems
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,MIS,Systèmes d information,1,0963-8687,1873-1198,1873-1198,journal-of-strategic-information-systems,Elsevier BV,https://openalex.org/S6144335,The Journal of Strategic Information Systems
JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,MIS,Systèmes d information,1,1536-9323,1558-3457,1558-3457,journal-of-the-association-for-information-systems,Association for Information Systems,https://openalex.org/S30879505,Journal of the Association for Information Systems
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,MIS,Systèmes d information,2,1073-0516,1557-7325,1557-7325,acm-transactions-on-computer-human-interaction,Association for Computing Machinery,https://openalex.org/S89276529,ACM Transactions on Computer-Human Interaction
DECISION SCIENCES,MIS,Systèmes d information,2,0011-7315,1540-5915,1540-5915,decision-sciences,Wiley,https://openalex.org/S177792750,Decision Sciences
DECISION SUPPORT SYSTEMS,MIS,Systèmes d information,2,0167-9236,1873-5797,1873-5797,decision-support-systems,Elsevier BV,https://openalex.org/S11479521,Decision Support Systems
"""IEEE TRANSACTION ON SYSTEMS"," MAN AND CYBERNETICS: SYSTEMS (FORMERLY """"IEEE TRANSACTIONS ON SYSTEMS"," MAN AND CYBERNETICS - PART A: SYSTEMS AND HUMANS"""")""",MIS,Systèmes d information,2,2168-2216,2168-2232,,,
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,MIS,Systèmes d information,2,0018-9391,1558-0040,1558-0040,ieee-transactions-on-engineering-management,Institute of Electrical and Electronics Engineers,https://openalex.org/S154533451,IEEE Transactions on Engineering Management
INFORMATION AND ORGANIZATION,MIS,Systèmes d information,2,1471-7727,1873-7919,1873-7919,information-and-organization,Elsevier BV,https://openalex.org/S35363033,Information and Organization
INFORMATION SYSTEMS FRONTIERS,MIS,Systèmes d information,2,1387-3326,1572-9419,1572-9419,information-systems-frontiers,Springer Science+Business Media,https://openalex.org/S181659395,Information Systems Frontiers
INFORMATION TECHNOLOGY AND PEOPLE,MIS,Systèmes d information,2,0959-3845,1758-5813,1758-5813,information-technology-and-people,Emerald Publishing Limited,https://openalex.org/S185256354,Information Technology and People
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,MIS,Systèmes d information,2,1086-4415,1557-9301,1557-9301,international-journal-of-electronic-commerce,Taylor & Francis,https://openalex.org/S18436875,International Journal of Electronic Commerce
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,MIS,Systèmes d information,2,0268-4012,1873-4707,1873-4707,international-journal-of-information-management,Elsevier BV,https://openalex.org/S189354248,International Journal of Information Management
JOURNAL OF COMPUTER MEDIATED COMMUNICATION,MIS,Systèmes d information,2,1083-6101,1083-6101,1083-6101,journal-of-computer-mediated-communication,Wiley,https://openalex.org/S30594836,Journal of Computer-Mediated Communication
SYSTÈMES D'INFORMATION ET MANAGEMENT (SIM),MIS,Systèmes d information,2,1260-4984,2271-7188,2271-7188,systemes-d-information-et-management-sim,,https://openalex.org/S2765043386,Systèmes d information & management
AIS TRANSACTIONS ON HUMAN-COMPUTER INTERACTION,MIS,Systèmes d information,3,1944-3900,1944-3900,1944-3900,ais-transactions-on-human-computer-interaction,Association for Information Systems,https://openalex.org/S4210193050,AIS Transactions on Human-Computer Interaction
BEHAVIOUR AND INFORMATION TECHNOLOGY,MIS,Systèmes d information,3,0144-929X,1362-3001,1362-3001,behaviour-and-information-technology,Taylor & Francis,https://openalex.org/S123849098,Behaviour and Information Technology
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,MIS,Systèmes d information,3,0007-1013,1467-8535,1467-8535,british-journal-of-educational-technology,Wiley,https://openalex.org/S110346167,British Journal of Educational Technology
BUSINESS AND INFORMATION SYSTEMS ENGINEERING (BISE) (FORMERLY: WIRTSCHAFTSINFORMATIK (WI)),MIS,Systèmes d information,3,1867-0202,2363-7005,2363-7005,business-and-information-systems-engineering-bise-formerly-wirtschaftsinformatik-wi,Springer Nature,https://openalex.org/S27339233,Business & Information Systems Engineering
BUSINESS PROCESS MANAGEMENT JOURNAL,MIS,Systèmes d information,3,1463-7154,1758-4116,1758-4116,business-process-management-journal,Emerald Publishing Limited,https://openalex.org/S2508752,Business Process Management Journal
COMMUNICATIONS OF THE ACM,MIS,Systèmes d information,3,0001-0782,1557-7317,1557-7317,communications-of-the-acm,Association for Computing Machinery,https://openalex.org/S103482838,Communications of the ACM
COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS,MIS,Systèmes d information,3,1529-3181,1529-3181,1529-3181,communications-of-the-association-for-information-systems,Association for Information Systems,https://openalex.org/S4210239688,Communications of the Association for Information Systems
COMPUTERS & INDUSTRIAL ENGINEERING,MIS,Systèmes d information,3,0360-8352,1879-0550,1879-0550,computers-and-industrial-engineering,Elsevier BV,https://openalex.org/S196821226,Computers & Industrial Engineering
COMPUTERS IN HUMAN BEHAVIOR,MIS,Systèmes d information,3,0747-5632,1873-7692,1873-7692,computers-in-human-behavior,Elsevier BV,https://openalex.org/S204030396,Computers in Human Behavior
ELECTRONIC MARKETS,MIS,Systèmes d information,3,1019-6781,1422-8890,1422-8890,electronic-markets,Springer Science+Business Media,https://openalex.org/S137519996,Electronic Markets
ENTERPRISE INFORMATION SYSTEMS,MIS,Systèmes d information,3,1751-7575,1751-7583,1751-7583,enterprise-information-systems,Taylor & Francis,https://openalex.org/S24861202,Enterprise Information Systems
EXPERT SYSTEMS WITH APPLICATIONS,MIS,Systèmes d information,3,0957-4174,1873-6793,1873-6793,expert-systems-with-applications,Elsevier BV,https://openalex.org/S13144211,Expert Systems with Applications
GOVERNMENT INFORMATION QUARTERLY,MIS,Systèmes d information,3,0740-624X,1872-9517,1872-9517,government-information-quarterly,Elsevier BV,https://openalex.org/S201710173,Government Information Quarterly
HUMAN-COMPUTER INTERACTION,MIS,Systèmes d information,3,0737-0024,1532-7051,1532-7051,human-computer-interaction,Taylor & Francis,https://openalex.org/S2481449237,Human-Computer Interaction
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,MIS,Systèmes d information,3,1041-4347,1041-4347,1041-4347,ieee-transactions-on-knowledge-and-data-engineering,IEEE Computer Society,https://openalex.org/S30698027,IEEE Transactions on Knowledge and Data Engineering
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,MIS,Systèmes d information,3,0098-5589,1939-3520,1939-3520,ieee-transactions-on-software-engineering,IEEE Computer Society,https://openalex.org/S8351582,IEEE Transactions on Software Engineering
INDUSTRIAL MANAGEMENT AND DATA SYSTEMS,MIS,Systèmes d information,3,0263-5577,1758-5783,1758-5783,industrial-management-and-data-systems,Emerald Publishing Limited,https://openalex.org/S37320504,Industrial Management & Data Systems
INFORMATION COMMUNICATION AND SOCIETY,MIS,Systèmes d information,3,1369-118X,1468-4462,1468-4462,information-communication-and-society,Routledge,https://openalex.org/S70010600,Information Communication & Society
INFORMATION PROCESSING AND MANAGEMENT,MIS,Systèmes d information,3,0306-4573,1873-5371,1873-5371,information-processing-and-management,Elsevier BV,https://openalex.org/S174847851,Information Processing & Management
INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT,MIS,Systèmes d information,3,1617-9846,1617-9854,1617-9854,information-systems-and-e-business-management,Springer Science+Business Media,https://openalex.org/S56271844,Information Systems and e-Business Management
INTERNATIONAL JOURNAL OF HUMAN COMPUTER STUDIES,MIS,Systèmes d information,3,1071-5819,1095-9300,1095-9300,international-journal-of-human-computer-studies,Elsevier BV,https://openalex.org/S4210190811,International Journal of Human-Computer Studies
INTERNET RESEARCH,MIS,Systèmes d information,3,1066-2243,1066-2243,1066-2243,internet-research,Emerald Publishing Limited,https://openalex.org/S63576417,Internet Research
JOURNAL OF ENTERPRISE INFORMATION MANAGEMENT,MIS,Systèmes d information,3,1741-0398,1758-7409,1758-7409,journal-of-enterprise-information-management,Emerald Publishing Limited,https://openalex.org/S141478581,Journal of Enterprise Information Management
JOURNAL OF GLOBAL INFORMATION MANAGEMENT,MIS,Systèmes d information,3,1062-7375,1533-7995,1533-7995,journal-of-global-information-management,IGI Global,https://openalex.org/S83591844,Journal of Global Information Management
KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,MIS,Systèmes d information,3,1477-8238,1477-8246,1477-8246,knowledge-management-research-and-practice,Taylor & Francis,https://openalex.org/S192723185,Knowledge Management Research & Practice
MIS QUARTERLY EXECUTIVE,MIS,Systèmes d information,3,1540-1960,1540-1979,1540-1979,mis-quarterly-executive,Indiana University Press,https://openalex.org/S48312676,MIS Quarterly Executive
THE DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,MIS,Systèmes d information,3,0095-0033,1532-0936,1532-0936,the-data-base-for-advances-in-information-systems,Association for Computing Machinery,https://openalex.org/S4210234096,ACM SIGMIS Database the DATABASE for Advances in Information Systems
THE INFORMATION SOCIETY,MIS,Systèmes d information,3,0197-2243,1087-6537,1087-6537,the-information-society,Taylor & Francis,https://openalex.org/S144363146,The Information Society
ADMINISTRATIVE SCIENCE QUARTERLY,ORG STUD,Études organisationnelles,1*,0001-8392,1930-3815,1930-3815,administrative-science-quarterly,SAGE Publishing,https://openalex.org/S143668711,Administrative Science Quarterly
ORGANIZATION SCIENCE,ORG STUD,Études organisationnelles,1*,1047-7039,1526-5455,1526-5455,organization-science,Institute for Operations Research and the Management Sciences,https://openalex.org/S206124708,Organization Science
JOURNAL OF ORGANIZATIONAL BEHAVIOR,ORG STUD,Études organisationnelles,1,0894-3796,1099-1379,1099-1379,journal-of-organizational-behavior,Wiley,https://openalex.org/S160573970,Journal of Organizational Behavior
ORGANIZATION STUDIES,ORG STUD,Études organisationnelles,1,0170-8406,1741-3044,1741-3044,organization-studies,SAGE Publishing,https://openalex.org/S28882882,Organization Studies
ORGANIZATIONAL RESEARCH METHODS,ORG STUD,Études organisationnelles,1,1094-4281,1552-7425,1552-7425,organizational-research-methods,SAGE Publishing,https://openalex.org/S133599136,Organizational Research Methods
JOURNAL OF ECONOMIC BEHAVIOR AND ORGANIZATION,ORG STUD,Études organisationnelles,2,0167-2681,1879-1751,1879-1751,journal-of-economic-behavior-and-organization,Elsevier BV,https://openalex.org/S62201805,Journal of Economic Behavior & Organization
JOURNAL OF KNOWLEDGE MANAGEMENT,ORG STUD,Études organisationnelles,2,1367-3270,1758-7484,1758-7484,journal-of-knowledge-management,Emerald Publishing Limited,https://openalex.org/S50631486,Journal of Knowledge Management
ORGANIZATION,ORG STUD,Études organisationnelles,2,1350-5084,1461-7323,1461-7323,organization,SAGE Publishing,https://openalex.org/S72915307,Organization
ORGANIZATION AND ENVIRONMENT,ORG STUD,Études organisationnelles,2,1086-0266,1552-7417,1552-7417,organization-and-environment,SAGE Publishing,https://openalex.org/S94552155,Organization & Environment
ORGANIZATIONAL DYNAMICS,ORG STUD,Études organisationnelles,2,0090-2616,1873-3530,1873-3530,organizational-dynamics,Elsevier BV,https://openalex.org/S195297104,Organizational Dynamics
RESEARCH IN ORGANIZATIONAL BEHAVIOR,ORG STUD,Études organisationnelles,2,0191-3085,0191-3085,0191-3085,research-in-organizational-behavior,Elsevier BV,https://openalex.org/S55099511,Research in Organizational Behavior
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,ORG STUD,Études organisationnelles,3,2327-0608,2327-0616,2327-0616,annual-review-of-organizational-psychology-and-organizational-behavior,Annual Reviews,https://openalex.org/S4210200923,Annual Review of Organizational Psychology and Organizational Behavior
CULTURE AND ORGANIZATION,ORG STUD,Études organisationnelles,3,1475-9551,1477-2760,1477-2760,culture-and-organization,Taylor & Francis,https://openalex.org/S1076045,Culture and Organization
"""GROUP DYNAMICS: THEORY"," RESEARCH AND PRACTICE""",ORG STUD,Études organisationnelles,3,1089-2699,1930-7802,1930-7802,American Psychological Association,https://openalex.org/S20082545,Group Dynamics Theory Research and Practice
GROUP PROCESSES AND INTERGROUP RELATIONS,ORG STUD,Études organisationnelles,3,1368-4302,1461-7188,1461-7188,group-processes-and-intergroup-relations,SAGE Publishing,https://openalex.org/S81071032,Group Processes & Intergroup Relations
JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS (FORMERLY: JOURNAL OF SOCIO-ECONOMICS),ORG STUD,Études organisationnelles,3,2214-8043,2214-8051,2214-8051,journal-of-behavioral-and-experimental-economics-formerly-journal-of-socio-economics,Elsevier BV,https://openalex.org/S4210233753,Journal of Behavioral and Experimental Economics
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,ORG STUD,Études organisationnelles,3,0160-8061,1540-8604,1540-8604,journal-of-organizational-behavior-management,Taylor & Francis,https://openalex.org/S97886924,Journal of Organizational Behavior Management
JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,ORG STUD,Études organisationnelles,3,0953-4814,1758-7816,1758-7816,journal-of-organizational-change-management,Emerald Publishing Limited,https://openalex.org/S197145128,Journal of Organizational Change Management
MANAGEMENT AND ORGANIZATION REVIEW,ORG STUD,Études organisationnelles,3,1740-8776,1740-8784,1740-8784,management-and-organization-review,Cambridge University Press,https://openalex.org/S70175541,Management and Organization Review
ORGANIZATIONAL PSYCHOLOGY REVIEW,ORG STUD,Études organisationnelles,3,2041-3866,2041-3874,2041-3874,organizational-psychology-review,SAGE Publishing,https://openalex.org/S2764940387,Organizational Psychology Review
REVIEW OF INDUSTRIAL ORGANIZATION,ORG STUD,Études organisationnelles,3,0889-938X,1573-7160,1573-7160,review-of-industrial-organization,Springer Science+Business Media,https://openalex.org/S3416249,Review of Industrial Organization
SMALL GROUP RESEARCH,ORG STUD,Études organisationnelles,3,1046-4964,1552-8278,1552-8278,small-group-research,SAGE Publishing,https://openalex.org/S133913429,Small Group Research
